问题	回答																
游戏中有哪几个厂商	在《潮灵王国：起源》中人类世界潮玩中的四大头部厂商，分别是科技集团、古典协会、幻梦工厂、潮流公司。四大厂商以各自不同的设计思路创造潮玩手办，并将潮玩理念传播教育，使人类社会中的潮玩市场到达顶峰																
游戏中有哪几个王国	共7个王国，分别是水晶王国、科技王国、冰雪王国、巨龙王国、海洋王国、烈焰王国和蘑菇王国																
水晶王国的简介	水晶王国建立在一条长长的矿洞之中，幽隐而深晦，以其独特的水晶资源而闻名于潮灵世界。水晶矿洞是海洋王国通往烈焰王国的唯一通道，而水晶王国正因为它的地理位置优越，和生产重要的水晶资源，在潮灵王国交易通商致富。																
水晶王国的背景故事	水晶王国的历史可以追溯到许多年前，据传说，它是由一位古老的水晶之神创造的。这位水晶之神赐予人们丰富的水晶资源，并将智慧和知识传授给他们。在水晶王国的统治下，这片土地繁荣昌盛，文明高度发展。然而，随着时间的推移，水晶之神渐渐消失，留下了神秘的遗迹和传说。																
水晶王国的地理情况	水晶王国建于一座巨大的矿脉之中，山脉和地穴环绕，在居民潮灵的努力挖掘下，形成一个狭长隧道。境内分布着许多各式各样的水晶与宝石，形成了壮丽的景观。王国中心是一座巨大的水晶矿山，供应了丰富的水晶资源，是整个王国繁荣的基石。																
水晶王国的建筑风格	水晶王国的建筑充满了神秘而独特的风格，建筑物通常使用水晶和大理石等材料，以反射光线的方式展现出璀璨的色彩。城市的宫殿、神庙和住宅都带有水晶元素，灯光闪烁，如梦如幻。王国还有一些古老的遗迹，包含着居民信仰的水晶之神和幽影之神的踪迹，吸引着众多潮灵探险家前来探寻。																
水晶王国有哪些生物	包括有宝石鼹鼠、穿山甲、隧道蛇、幽影蝙蝠、矿洞水母等，象征性植物包括水晶珊瑚、宝石莲、地穴蘑菇、幽穴苔藓等																
水晶王国的文化信仰	水晶王国的文化信仰深受水晶之神的影响。潮灵们尊崇水晶之神，将水晶视为神圣之物。在重要的庆典和仪式中，水晶被用作祭品和仪式工具。除了崇拜水晶之神，水晶王国的潮灵也对自然界和生态环境保持着尊敬和感恩之心，他们低调谦逊，但不失精明，也赢得了其他商业伙伴的赞许。																
水晶王国的代表潮灵	影、莉亚特
冰雪王国的简介	有人说，冰雪王国隐藏着潮灵世界的奥秘，也埋藏着自由往返潮灵世界与人类世界的通道。寒冷的冰雪将这里笼罩，黑色的云和冷冽的风将这里吞噬，而在那雪山上，也是小魔女居住的地方。																
冰雪王国的背景故事	一部分学者认为，冰雪王国附近通常是电冰箱、雪柜、制冷机等人类电器的强力因素所形成的。而另一部分则认为，形成冰雪王国天气与地貌的原因，是因为某种黑暗仪式魔法的力量。冰雪王国的潮灵性格被他们寒冷的气候塑造得异常彪悍强韧，内部团结的同时对外界相对孤立、有着神秘智慧的底蕴。																
冰雪王国的地理情况	雪原是该国度的常见地貌，高耸的雪山、陡峭的冰柱山崖，高低错落。矿产丰富，具有许多矿洞																
冰雪王国的建筑风格	有废弃的冰箱罐头小屋、石头垒成的防冻小屋、冰屋、指引旅人的石柱路灯、各处的篝火、路程石碑等；也有岩石洞窟的建筑，以及独特冰雕和祭坛等																
冰雪王国有哪些生物	包括有小企鹅、雪绒球兽、雪狐、雪兔、冰晶蝴蝶、滚球雪怪等，象征性植物包括枯树、松柏林、针叶木、球状冰雪花苞等																
冰雪王国的文化信仰	该王国的人喜欢钓鱼和篝火围坐，他们重视生存与挑战，在一些鲜有人涉足的高峰和洞穴，他们都用于去探索，并且会上上面留下诸如壁画、篝火、石雕等认为痕迹。他们会在祭坛旁进行各种魔法祭祀或礼仪祭祀，是仪式感极强的王国。																
冰雪王国的代表潮灵	杜铎、蕾拉、哈琪																
烈焰王国的简介	沸腾的岩浆从高山流下，烈焰王国的居民却可以安然居住岩浆小河的两岸。奇特的食火花将岩浆和村子的边界划分了出来。山石上刻着了原始的神秘符文，你需要花费大量心思钻研烈焰王国的战争历史，才能明白它们所代表的深刻含义。																
烈焰王国的背景故事	烈焰王国附近通常是电烤箱、微波炉、燃气灶等人类电器的强力因素所形成的岩浆、火山等地形。通常会伴随着沙漠、层岩、火山等一系列的气候。烈焰王国的潮灵性格大多粗犷好斗，他们热情奔放，脾气暴躁，崇尚自然天性，有着原始信仰文化和弱肉强食的特征。																
烈焰王国的地理情况	层叠的山柱、岩浆横流的火山，粗狂的石头村子和碉堡，还有原始风格的石屋，地广人稀，干燥炎热。																
烈焰王国的建筑风格	有普通的木房、被烈火和炭石包围的石头屋村子、神秘石像群、兽形巢穴、地下隐藏洞穴、神秘石塔、火把祭坛、金字塔、墓葬群等；岩体或者祭坛上会有神秘符号。																
烈焰王国有哪些生物	包括有红嘴鸟、沙漠蛇、火貂、地鼠、枭、火龟等，象征性植物有食火花、荆棘藤条、攀岩花、石边绿草乔木等。																
烈焰王国的文化信仰	该国度遍地石像，原始信仰文化十分广泛。这里的潮灵普遍尊崇神秘文化，使用神秘的语言文字和符号、他们喜欢石头、产生了各种各样的石头装饰、石头艺术，将重要的事件记载在石碑之上。对于生死的仪式十分看重。																
烈焰王国的代表潮灵	卢卡、阿帕、血刃																
巨龙王国的简介	巨龙王国是一个神奇的王国，位于高空中的漂浮之地。这个岛屿悬浮在蓝天之上，因其奇特的位置和令人惊叹的风景而著名。巨龙王国上生活着一群独特而神秘的居民，他们拥有高超的建造技术和一般潮灵难以达到的灵力。																
巨龙王国的背景故事	关于巨龙王国的历史，很多都已成为传说。传说中，巨龙王国是由几位实力超凡的潮灵创造的，他们建造了灵力法阵，通过强大的灵力将这片土地从地面升腾而起。自那时以来，岛上居民不断发展并创造出高超的飞行科技，使得巨龙王国成为一个独特的浮空王国。																
巨龙王国的地理情况	巨龙王国漂浮在天空中，由神秘的飞行魔法维持着平衡。岛上有广阔的领土，包括翠绿的森林、瀑布和湖泊，还有壮观的高空瀑布。高耸入云的城市和建筑漂浮在岛上，形成了一个宏伟壮观的景象。																
巨龙王国的建筑风格	有古老高耸的塔、悬崖边精致古典的亭楼，廊腰缦回的走廊和断壁、屋檐高飞的阁楼、和摆放着棋盘的石桌。																
巨龙王国有哪些生物	包括有飞鸟、白鹤、凌云大雁、古墙壁虎等，象征性植物包括入云苍松、高寒柏树、劲竹、高山灵芝、仙草等。																
巨龙王国的文化信仰	巨龙王国的居民深信建造技术和灵力的力量，认为它们是岛屿漂浮是生活的关键。岛上的宗教信仰与大自然和飞行有关，居民敬畏天空和高空的神秘力量。他们相信在高空中飞翔可以接近神明，穿过云层，就可达到人类世界，因此岛上有许多高空寺庙和祭祀活动，并且大多以音乐的方式展现。																
巨龙王国的代表潮灵	牟重重、牟九九、轻舞佳人																
科技王国的简介	机械齿轮转动，灯光时刻闪烁，奇幻的科技王国就如同建立在机械零件上的筑梦工厂，生产着梦想的星光和乐园的零件。打开其中的机巧机关，瞬间就出现了傀儡玩偶，瞬间就亮起了闪烁光芒，梦幻的舞台在向你敞开。																
